sale_id,sale_rep_id,sale_date,car_model,sale_amount,commission_pct,sale_status
10001,5,2024-12-13,Highlander,29059.55,0.05,Completed
10002,20,2024-12-09,RAV4,43771.05,0.07,Pending
10003,17,2024-12-13,Camry,27892.41,0.05,Pending
10004,1,2024-12-28,Camry,45333.69,0.03,Completed
10005,2,2024-12-02,Camry,24439.78,0.05,Pending
10006,2,2024-12-29,Tacoma,45310.4,0.03,Pending
10007,10,2024-12-07,Tundra,24176.53,0.07,Completed
10008,3,2024-12-10,RAV4,36666.63,0.05,Completed
10009,8,2024-12-18,RAV4,43015.6,0.03,Cancelled
10010,3,2024-12-02,Tacoma,34899.85,0.03,Pending
10011,13,2024-12-03,RAV4,47939.07,0.03,Cancelled
10012,17,2024-12-24,Highlander,48055.61,0.03,Completed
10013,18,2024-12-14,Corolla,42705.57,0.05,Cancelled
10014,2,2024-12-23,RAV4,33613.23,0.07,Completed
10015,11,2024-12-24,Highlander,29449.16,0.05,Completed
10016,18,2024-12-01,Tundra,22715.24,0.07,Pending
10017,4,2024-12-16,Highlander,30655.93,0.05,Pending
10018,5,2024-12-13,Tundra,39749.45,0.05,Pending
10019,11,2024-12-10,Highlander,40696.37,0.05,Completed
10020,1,2024-12-10,Camry,49302.73,0.03,Cancelled
10021,19,2024-12-31,RAV4,23879.26,0.05,Completed
10022,9,2024-12-19,RAV4,29860.12,0.07,Pending
10023,16,2024-12-18,Highlander,32121.32,0.05,Cancelled
10024,5,2024-12-21,Tacoma,48498.09,0.07,Pending
10025,20,2024-12-29,Corolla,31823.21,0.03,Completed
10026,7,2024-12-09,Corolla,31714.85,0.07,Pending
10027,5,2024-12-29,RAV4,27682.14,0.07,Completed
10028,5,2024-12-12,RAV4,28210.57,0.07,Cancelled
10029,15,2024-12-01,Camry,23552.19,0.03,Completed
10030,11,2024-12-25,Corolla,20834.14,0.03,Cancelled
10031,3,2024-12-17,Tacoma,25539.69,0.07,Pending
10032,4,2024-12-18,Highlander,37276.89,0.05,Completed
10033,13,2024-12-09,Highlander,33427.15,0.03,Completed
10034,19,2024-12-08,RAV4,49841.48,0.05,Pending
10035,10,2024-12-17,Camry,41200.91,0.07,Pending
10036,13,2024-12-14,Highlander,24867.75,0.03,Pending
10037,16,2024-12-28,Tundra,37688.02,0.07,Cancelled
10038,19,2024-12-01,Camry,35792.65,0.05,Cancelled
10039,15,2024-12-01,Tundra,22337.65,0.07,Pending
10040,18,2024-12-28,Camry,42623.1,0.05,Cancelled
10041,19,2024-12-27,Highlander,28487.56,0.05,Cancelled
10042,12,2024-12-11,Tacoma,49274.64,0.03,Completed
10043,5,2024-12-25,Highlander,26760.35,0.03,Cancelled
10044,10,2024-12-05,RAV4,37608.53,0.03,Pending
10045,16,2024-12-27,Camry,34192.5,0.05,Cancelled
10046,20,2024-12-26,Tacoma,31287.56,0.03,Completed
10047,9,2024-12-12,Tundra,48732.64,0.05,Cancelled
10048,19,2024-12-30,RAV4,38526.01,0.07,Cancelled
10049,11,2024-12-31,Corolla,45851.44,0.05,Pending
10050,15,2024-12-01,RAV4,47206.84,0.05,Cancelled
10051,14,2024-12-06,Tacoma,47514.77,0.07,Cancelled
10052,6,2024-12-16,Highlander,48908.46,0.05,Pending
10053,2,2024-12-12,Camry,31597.21,0.07,Cancelled
10054,19,2024-12-11,Corolla,39871.44,0.03,Completed
10055,15,2024-12-14,Highlander,45076.01,0.07,Cancelled
10056,10,2024-12-30,Tundra,49105.08,0.05,Completed
10057,8,2024-12-03,Tundra,33794.47,0.07,Pending
10058,7,2024-12-27,Tundra,23932.41,0.05,Pending
10059,20,2024-12-08,Tacoma,43181.93,0.07,Cancelled
10060,20,2024-12-02,RAV4,28437.13,0.03,Completed
10061,4,2024-12-23,Corolla,21014.72,0.05,Pending
10062,2,2024-12-10,Tundra,47366.66,0.07,Completed
10063,11,2024-12-06,RAV4,47748.89,0.07,Completed
10064,13,2024-12-21,RAV4,24866.58,0.05,Pending
10065,7,2024-12-18,Corolla,20334.29,0.07,Completed
10066,18,2024-12-08,RAV4,43077.89,0.07,Pending
10067,5,2024-12-16,Corolla,30902.75,0.05,Completed
10068,18,2024-12-31,Camry,44905.45,0.05,Completed
10069,9,2024-12-07,Corolla,35051.8,0.07,Cancelled
10070,15,2024-12-06,Corolla,25312.51,0.03,Pending
10071,19,2024-12-21,RAV4,22606.3,0.07,Cancelled
10072,9,2024-12-04,Tundra,42013.71,0.03,Pending
10073,7,2024-12-30,Tundra,22137.83,0.03,Completed
10074,3,2024-12-23,Corolla,28618.38,0.05,Completed
10075,7,2024-12-10,Tundra,45815.35,0.07,Pending
10076,11,2024-12-18,Camry,45593.6,0.05,Completed
10077,1,2024-12-19,RAV4,31882.2,0.05,Cancelled
10078,20,2024-12-25,Highlander,29091.74,0.07,Completed
10079,9,2024-12-20,Tacoma,29040.65,0.03,Cancelled
10080,2,2024-12-21,Tacoma,46368.84,0.05,Cancelled
10081,18,2024-12-17,RAV4,34700.63,0.07,Pending
10082,6,2024-12-12,Tacoma,23833.26,0.03,Completed
10083,8,2024-12-18,Highlander,40323.06,0.05,Pending
10084,6,2024-12-04,Camry,46664.52,0.07,Cancelled
10085,2,2024-12-30,Tundra,44123.51,0.03,Cancelled
10086,3,2024-12-10,Camry,30796.29,0.05,Pending
10087,11,2024-12-08,Camry,24706.07,0.03,Completed
10088,3,2024-12-31,Highlander,28393.49,0.07,Cancelled
10089,8,2024-12-25,Highlander,40142.7,0.03,Cancelled
10090,1,2024-12-20,Highlander,24343.01,0.03,Cancelled
10091,3,2024-12-23,Tacoma,24502.27,0.07,Completed
10092,3,2024-12-16,Tacoma,48237.92,0.03,Completed
10093,18,2024-12-03,Camry,28121.24,0.05,Pending
10094,6,2024-12-06,Tundra,26144.37,0.05,Completed
10095,15,2024-12-21,Tacoma,34827.41,0.07,Pending
10096,20,2024-12-14,Camry,42856.96,0.05,Completed
10097,10,2024-12-22,Camry,40055.18,0.07,Pending
10098,4,2024-12-22,Tacoma,46450.98,0.07,Cancelled
10099,1,2024-12-20,Tacoma,26870.34,0.07,Pending
10100,4,2024-12-02,RAV4,40563.07,0.07,Pending
10101,14,2024-12-10,Corolla,49713.66,0.05,Cancelled
10102,13,2024-12-16,Tacoma,28515.22,0.05,Cancelled
10103,4,2024-12-08,Corolla,24868.35,0.03,Pending
10104,1,2024-12-14,RAV4,21260.51,0.07,Pending
10105,3,2024-12-18,Tacoma,48330.24,0.03,Completed
10106,18,2024-12-16,Camry,44650.57,0.03,Cancelled
10107,2,2024-12-09,Highlander,37977.16,0.07,Cancelled
10108,18,2024-12-24,RAV4,42759.03,0.05,Cancelled
10109,8,2024-12-03,Tundra,49292.36,0.05,Completed
10110,12,2024-12-22,Camry,22242.99,0.03,Pending
10111,11,2024-12-23,Corolla,23105.19,0.05,Completed
10112,2,2024-12-11,Camry,20040.89,0.03,Completed
10113,5,2024-12-10,RAV4,35724.47,0.03,Cancelled
10114,7,2024-12-24,Camry,26776.96,0.03,Completed
10115,20,2024-12-02,RAV4,23625.95,0.03,Cancelled
10116,3,2024-12-02,Camry,47001.5,0.03,Completed
10117,5,2024-12-07,Camry,28094.97,0.03,Pending
10118,12,2024-12-04,Corolla,24611.48,0.03,Completed
10119,9,2024-12-21,Tundra,35968.76,0.03,Completed
10120,19,2024-12-19,RAV4,44583.35,0.07,Pending
10121,10,2024-12-22,RAV4,24672.42,0.05,Pending
10122,17,2024-12-28,Corolla,26060.87,0.07,Cancelled
10123,15,2024-12-15,RAV4,46137.19,0.03,Cancelled
10124,8,2024-12-02,Corolla,44629.79,0.05,Pending
10125,16,2024-12-27,RAV4,33021.37,0.05,Cancelled
10126,13,2024-12-28,Tundra,49451.18,0.07,Cancelled
10127,18,2024-12-30,Camry,42794.29,0.03,Cancelled
10128,13,2024-12-27,Camry,33248.54,0.07,Completed
10129,10,2024-12-27,Tundra,22443.03,0.03,Cancelled
10130,1,2024-12-04,Corolla,45228.31,0.07,Pending
10131,17,2024-12-15,Camry,38875.12,0.07,Completed
10132,17,2024-12-15,Corolla,23621.3,0.05,Completed
10133,13,2024-12-21,Corolla,22951.66,0.03,Cancelled
10134,2,2024-12-25,Highlander,48154.16,0.05,Completed
10135,12,2024-12-22,Tundra,31592.38,0.07,Pending
10136,9,2024-12-10,Tundra,36605.59,0.05,Pending
