sale_id,sale_rep_id,sale_date,car_model,sale_amount,commission_pct,sale_status
5001,5,2024-11-11,RAV4,38084.06,0.07,Pending
5002,11,2024-11-23,Corolla,46863.84,0.03,Pending
5003,18,2024-11-02,Highlander,29764.42,0.07,Cancelled
5004,5,2024-11-17,Tacoma,46099.16,0.03,Pending
5005,13,2024-11-14,RAV4,48861.64,0.05,Completed
5006,12,2024-11-30,Tacoma,48216.48,0.03,Completed
5007,10,2024-11-27,Corolla,46222.27,0.07,Completed
5008,13,2024-11-19,Corolla,41902.27,0.07,Completed
5009,17,2024-11-01,Tundra,26571.14,0.05,Cancelled
5010,10,2024-11-11,Camry,43723.72,0.05,Pending
5011,6,2024-11-15,Corolla,44402.76,0.07,Pending
5012,5,2024-11-28,Corolla,24013.85,0.07,Completed
5013,7,2024-11-13,Camry,26264.79,0.07,Completed
5014,16,2024-11-30,Corolla,24021.1,0.07,Completed
5015,11,2024-11-24,RAV4,38241.7,0.05,Pending
5016,17,2024-11-17,Tacoma,32416.9,0.05,Completed
5017,14,2024-11-28,Corolla,42046.67,0.05,Completed
5018,7,2024-11-13,RAV4,45049.03,0.03,Pending
5019,5,2024-11-26,RAV4,22786.65,0.07,Cancelled
5020,6,2024-11-04,Camry,24143.28,0.03,Completed
5021,16,2024-11-09,Camry,24319.4,0.07,Cancelled
5022,17,2024-11-05,Camry,32509.22,0.03,Cancelled
5023,7,2024-11-11,Highlander,23972.33,0.05,Cancelled
5024,9,2024-11-05,Camry,40434.24,0.05,Cancelled
5025,17,2024-11-16,Camry,31759.73,0.03,Pending
5026,6,2024-11-21,Camry,26191.63,0.05,Cancelled
5027,17,2024-11-28,Tundra,49003.33,0.05,Pending
5028,2,2024-11-25,Camry,38858.85,0.07,Cancelled
5029,12,2024-11-21,Tundra,39188.95,0.03,Pending
5030,18,2024-11-23,RAV4,47493.65,0.03,Completed
5031,5,2024-11-10,Highlander,32242.44,0.03,Completed
5032,15,2024-11-25,Tundra,39737.41,0.03,Pending
5033,19,2024-11-13,Highlander,35896.27,0.05,Completed
5034,17,2024-11-27,Tacoma,21778.86,0.07,Completed
5035,10,2024-11-02,Highlander,34226.3,0.05,Completed
5036,8,2024-11-17,Tacoma,43304.77,0.03,Pending
5037,9,2024-11-18,Corolla,43988.1,0.03,Pending
5038,19,2024-11-21,Tacoma,28848.01,0.05,Cancelled
5039,19,2024-11-01,Tundra,25228.88,0.07,Cancelled
5040,14,2024-11-08,Camry,48338.91,0.07,Pending
5041,18,2024-11-20,RAV4,47935.1,0.03,Cancelled
5042,2,2024-11-02,Corolla,49551.09,0.05,Pending
5043,18,2024-11-13,Highlander,31634.98,0.05,Pending
5044,11,2024-11-15,Tundra,48375.08,0.07,Completed
5045,3,2024-11-22,Tacoma,30730.73,0.07,Completed
5046,19,2024-11-28,Tacoma,29584.92,0.03,Cancelled
5047,16,2024-11-07,Camry,44223.72,0.03,Cancelled
5048,13,2024-11-08,Corolla,21751.65,0.05,Completed
5049,16,2024-11-20,RAV4,44943.45,0.03,Pending
5050,2,2024-11-30,Corolla,37378.44,0.03,Pending
5051,3,2024-11-03,Camry,44703.37,0.05,Cancelled
5052,20,2024-11-18,Corolla,36107.62,0.07,Pending
5053,14,2024-11-05,Tacoma,41941.23,0.05,Completed
5054,14,2024-11-20,Highlander,45976.78,0.07,Completed
5055,8,2024-11-01,RAV4,47959.15,0.05,Completed
5056,10,2024-11-10,RAV4,26027.04,0.05,Completed
5057,15,2024-11-18,Camry,41543.02,0.07,Pending
5058,1,2024-11-30,Highlander,48748.31,0.07,Completed
5059,6,2024-11-22,Corolla,40514.28,0.07,Completed
5060,2,2024-11-20,Tacoma,39647.06,0.03,Pending
5061,10,2024-11-12,Highlander,24069.05,0.05,Completed
5062,14,2024-11-14,Highlander,46847.51,0.05,Cancelled
5063,9,2024-11-25,Tundra,27928.4,0.05,Completed
5064,11,2024-11-11,Corolla,21151.28,0.05,Completed
5065,2,2024-11-11,Highlander,45616.79,0.07,Completed
5066,9,2024-11-13,Tundra,21866.3,0.07,Completed
5067,10,2024-11-27,Highlander,20859.82,0.05,Completed
