sale_id,sale_rep_id,sale_date,car_model,sale_amount,commission_pct,sale_status
1,2,2024-10-18,Highlander,35355.7,0.05,Completed
2,1,2024-10-08,Highlander,49564.01,0.07,Cancelled
3,9,2024-10-09,RAV4,32329.41,0.05,Completed
4,6,2024-10-25,Highlander,28646.47,0.07,Completed
5,9,2024-10-29,Corolla,27023.71,0.07,Pending
6,20,2024-10-12,Camry,33788.16,0.05,Completed
7,10,2024-10-18,Tacoma,32955.64,0.03,Pending
8,4,2024-10-03,Highlander,47002.28,0.03,Completed
9,5,2024-10-19,RAV4,44544.28,0.05,Pending
10,2,2024-10-31,Tundra,27826.28,0.03,Pending
11,4,2024-10-23,Corolla,46470.78,0.07,Pending
12,18,2024-10-28,Tundra,29096.04,0.03,Cancelled
13,17,2024-10-09,RAV4,22852.12,0.07,Pending
14,10,2024-10-04,RAV4,21131.23,0.07,Cancelled
15,10,2024-10-28,Tacoma,46136.86,0.07,Completed
16,6,2024-10-02,Corolla,27774.85,0.07,Cancelled
17,11,2024-10-03,Tundra,24190.34,0.03,Completed
18,12,2024-10-23,Tacoma,41196.14,0.03,Pending
19,20,2024-10-26,Tacoma,40990.64,0.03,Pending
20,12,2024-10-22,Highlander,30763.25,0.07,Cancelled
21,5,2024-10-17,Tundra,32261.37,0.07,Pending
22,2,2024-10-28,Corolla,20114.81,0.05,Pending
23,14,2024-10-08,RAV4,49695.15,0.07,Cancelled
24,4,2024-10-20,Tacoma,34614.44,0.03,Pending
25,11,2024-10-19,Corolla,20214.08,0.05,Cancelled
26,2,2024-10-29,Highlander,32981.61,0.05,Completed
27,7,2024-10-03,Corolla,39526.92,0.07,Cancelled
28,5,2024-10-20,Tundra,48286.04,0.03,Completed
29,18,2024-10-29,Tacoma,31315.78,0.03,Completed
30,15,2024-10-20,Highlander,29646.86,0.05,Pending
31,20,2024-10-03,Camry,23677.3,0.07,Completed
32,16,2024-10-21,RAV4,49233.49,0.07,Pending
33,5,2024-10-27,Camry,23942.36,0.03,Cancelled
34,1,2024-10-23,Tundra,33679.36,0.07,Cancelled
35,20,2024-10-06,Camry,48763.6,0.07,Cancelled
36,16,2024-10-10,Tundra,36703.8,0.03,Pending
37,15,2024-10-13,RAV4,37257.12,0.07,Cancelled
38,4,2024-10-26,Tundra,30033.42,0.03,Cancelled
39,17,2024-10-12,Camry,38555.02,0.07,Completed
40,6,2024-10-15,Corolla,36287.68,0.05,Cancelled
41,14,2024-10-02,Tacoma,26742.0,0.07,Completed
42,16,2024-10-13,Tacoma,32380.78,0.03,Pending
43,15,2024-10-01,Camry,25400.69,0.07,Completed
44,1,2024-10-22,Tacoma,43772.61,0.05,Pending
45,1,2024-10-06,Highlander,39322.74,0.05,Cancelled
46,11,2024-10-11,RAV4,32531.49,0.03,Completed
47,14,2024-10-24,RAV4,37284.87,0.07,Completed
48,5,2024-10-08,Tundra,41891.48,0.07,Pending
49,8,2024-10-21,Highlander,26752.67,0.03,Pending
50,20,2024-10-05,Tacoma,20026.86,0.07,Pending
51,20,2024-10-17,Corolla,25683.47,0.03,Completed
52,4,2024-10-25,Tundra,32141.23,0.03,Completed
53,12,2024-10-29,RAV4,44644.65,0.07,Cancelled
54,1,2024-10-05,Camry,31446.88,0.05,Completed
55,13,2024-10-16,Corolla,24888.64,0.03,Pending
56,13,2024-10-19,Tundra,47637.49,0.07,Pending
57,17,2024-10-18,Camry,30305.28,0.07,Cancelled
58,7,2024-10-24,Highlander,40607.47,0.07,Cancelled
59,8,2024-10-17,RAV4,24793.44,0.03,Completed
60,7,2024-10-11,Corolla,21680.8,0.07,Pending
61,4,2024-10-07,Camry,24024.98,0.03,Cancelled
62,17,2024-10-17,Tundra,45859.72,0.07,Pending
63,10,2024-10-27,Corolla,23484.07,0.07,Pending
64,9,2024-10-20,Tacoma,37037.73,0.05,Cancelled
65,1,2024-10-27,Highlander,27822.16,0.03,Pending
66,19,2024-10-11,RAV4,48171.44,0.07,Cancelled
67,2,2024-10-04,Tundra,49064.92,0.05,Cancelled
68,8,2024-10-21,Corolla,49938.08,0.07,Pending
69,10,2024-10-14,RAV4,34852.02,0.03,Pending
70,14,2024-10-06,Camry,44666.62,0.07,Completed
71,18,2024-10-16,Tacoma,38348.86,0.03,Pending
72,3,2024-10-27,Corolla,39833.88,0.03,Pending
73,4,2024-10-02,Corolla,24024.81,0.07,Pending
74,4,2024-10-03,Tacoma,42512.54,0.05,Completed
75,1,2024-10-03,RAV4,38575.51,0.03,Pending
76,17,2024-10-05,Tundra,45275.2,0.03,Pending
77,12,2024-10-13,Camry,38619.38,0.07,Cancelled
78,17,2024-10-04,Camry,38073.85,0.07,Cancelled
79,3,2024-10-14,RAV4,21820.13,0.07,Cancelled
80,16,2024-10-12,RAV4,34897.96,0.05,Pending
81,10,2024-10-09,Camry,49892.88,0.03,Completed
82,13,2024-10-12,Tundra,41583.77,0.07,Cancelled
83,13,2024-10-12,Tundra,43887.83,0.03,Cancelled
84,17,2024-10-02,Tacoma,32731.91,0.05,Pending
85,13,2024-10-30,Corolla,43277.43,0.05,Pending
86,15,2024-10-19,Highlander,49661.05,0.07,Completed
87,13,2024-10-07,Tundra,29365.62,0.07,Cancelled
88,15,2024-10-21,Highlander,36609.48,0.03,Pending
89,9,2024-10-11,RAV4,31025.28,0.07,Completed
90,5,2024-10-13,Corolla,21697.14,0.07,Completed
91,6,2024-10-25,Tundra,31120.44,0.07,Cancelled
92,18,2024-10-04,Camry,42994.25,0.05,Cancelled
93,2,2024-10-30,Highlander,33382.26,0.03,Pending
94,13,2024-10-05,Camry,39074.62,0.05,Completed
95,1,2024-10-19,RAV4,28470.94,0.07,Cancelled
96,13,2024-10-05,Highlander,34531.31,0.03,Cancelled
97,20,2024-10-24,Highlander,42082.85,0.05,Cancelled
98,20,2024-10-20,Tacoma,37821.28,0.07,Pending
99,7,2024-10-26,Highlander,24784.1,0.03,Completed
100,20,2024-10-06,Tundra,48557.46,0.03,Pending
101,18,2024-10-17,Highlander,24833.25,0.03,Pending
102,18,2024-10-09,RAV4,47876.89,0.05,Completed
103,15,2024-10-24,Corolla,43834.68,0.03,Cancelled
104,16,2024-10-13,Tacoma,34349.76,0.05,Completed
105,5,2024-10-31,Corolla,26842.08,0.07,Pending
106,1,2024-10-23,Camry,45768.55,0.07,Completed
107,16,2024-10-04,Tacoma,37340.45,0.07,Pending
108,6,2024-10-16,Tundra,42556.24,0.05,Completed
109,3,2024-10-18,Tundra,48213.32,0.03,Completed
110,10,2024-10-25,Highlander,29573.04,0.07,Pending
111,2,2024-10-28,Corolla,26769.85,0.05,Completed
112,8,2024-10-30,Tacoma,22230.12,0.03,Pending
113,17,2024-10-04,Highlander,37650.33,0.07,Cancelled
114,19,2024-10-09,Tundra,41572.99,0.07,Cancelled
115,18,2024-10-10,Corolla,47791.09,0.05,Pending
116,3,2024-10-03,Camry,23439.14,0.03,Completed
117,5,2024-10-25,Highlander,31260.97,0.05,Pending
118,1,2024-10-11,Camry,49221.32,0.03,Pending
119,18,2024-10-15,RAV4,20788.71,0.03,Cancelled
120,3,2024-10-21,Camry,44396.97,0.07,Pending
121,17,2024-10-17,Tundra,43163.29,0.05,Completed
122,18,2024-10-16,Tacoma,26093.84,0.05,Pending
123,9,2024-10-14,Tacoma,44234.2,0.03,Cancelled
124,8,2024-10-06,RAV4,37055.77,0.03,Pending
125,14,2024-10-16,Camry,26653.35,0.03,Completed
126,4,2024-10-11,Tacoma,46188.59,0.05,Pending
127,8,2024-10-06,Highlander,22971.41,0.03,Completed
128,1,2024-10-07,Camry,34345.35,0.03,Completed
129,12,2024-10-14,Tacoma,22126.78,0.03,Pending
130,6,2024-10-05,Camry,27966.15,0.05,Cancelled
131,11,2024-10-25,Tundra,46847.96,0.03,Completed
132,6,2024-10-24,Corolla,33874.75,0.07,Completed
133,1,2024-10-11,RAV4,49019.09,0.03,Completed
134,12,2024-10-25,Highlander,40657.11,0.07,Cancelled
135,20,2024-10-08,Tacoma,40284.07,0.03,Completed
136,5,2024-10-27,RAV4,47916.17,0.05,Completed
137,13,2024-10-11,Tundra,47302.31,0.05,Pending
138,13,2024-10-15,Camry,40564.22,0.05,Pending
139,1,2024-10-25,RAV4,47808.59,0.05,Cancelled
140,5,2024-10-14,Corolla,41106.77,0.03,Pending
141,13,2024-10-29,Camry,28316.22,0.07,Completed
142,8,2024-10-12,Tacoma,49060.77,0.05,Cancelled
143,15,2024-10-25,Camry,40832.97,0.05,Pending
144,16,2024-10-26,Corolla,24715.25,0.03,Pending
145,8,2024-10-05,Tacoma,40137.91,0.07,Pending
146,12,2024-10-13,Tundra,33050.32,0.05,Cancelled
147,7,2024-10-22,Highlander,38559.42,0.07,Pending
148,10,2024-10-07,Corolla,34197.36,0.05,Pending
149,19,2024-10-27,RAV4,26817.1,0.07,Completed
150,10,2024-10-13,RAV4,47714.52,0.03,Pending
151,19,2024-10-25,Camry,44260.14,0.03,Pending
152,1,2024-10-18,Tundra,34231.62,0.03,Pending
153,13,2024-10-20,Tacoma,25391.36,0.03,Pending
154,11,2024-10-02,Camry,40319.1,0.05,Cancelled
155,14,2024-10-21,Tundra,30747.48,0.03,Pending
156,8,2024-10-30,Tacoma,47176.37,0.03,Pending
157,3,2024-10-27,Tacoma,27837.63,0.05,Pending
158,11,2024-10-24,Highlander,47820.19,0.05,Pending
159,13,2024-10-31,Tundra,35936.57,0.07,Completed
160,19,2024-10-17,Tacoma,26515.12,0.07,Pending
161,10,2024-10-01,Corolla,30846.03,0.05,Pending
162,2,2024-10-11,RAV4,45435.76,0.07,Cancelled
163,7,2024-10-19,Highlander,20382.22,0.05,Pending
164,4,2024-10-03,Camry,20007.64,0.07,Cancelled
165,1,2024-10-10,Camry,29484.88,0.03,Cancelled
166,3,2024-10-10,Tundra,47690.76,0.07,Cancelled
167,12,2024-10-24,RAV4,38231.75,0.03,Pending
168,19,2024-10-22,Corolla,31676.02,0.05,Completed
169,9,2024-10-03,Tacoma,36119.75,0.07,Completed
170,20,2024-10-13,Camry,36013.99,0.07,Completed
171,19,2024-10-29,Corolla,36353.52,0.03,Cancelled
172,3,2024-10-20,Tundra,27520.98,0.03,Cancelled
173,9,2024-10-16,Tacoma,28358.93,0.07,Pending
174,6,2024-10-28,Tundra,46582.01,0.03,Completed
175,6,2024-10-21,Tacoma,37244.1,0.07,Cancelled
