sale_id,sale_rep_id,sale_date,car_model,sale_amount,commission_pct,sale_status
351433,2,2018-07-18,Sienna,34535.48,4.0,Completed
351434,2,2018-07-04,Tacoma,32205.9,4.0,Pending
351435,12,2018-07-06,Prius,30428.42,5.65,Completed
351436,17,2018-07-10,Tacoma,29627.71,4.51,Completed
351437,14,2018-07-08,Highlander,56227.93,5.1,Completed
351438,8,2018-07-31,Highlander,62043.32,5.84,Completed
351439,18,2018-07-05,Tundra,48003.81,5.68,Completed
351440,14,2018-07-12,Tundra,43018.82,5.1,Completed
351441,5,2018-07-05,Sienna,38547.86,5.34,Completed
351442,17,2018-07-01,Prius,20119.48,4.51,Completed
351443,14,2018-07-24,Tacoma,40528.97,5.1,Completed
351444,20,2018-07-06,Prius,27170.47,5.77,Cancelled
351445,11,2018-07-10,Tacoma,28614.59,4.16,Completed
351446,13,2018-07-08,RAV4,43098.88,5.61,Completed
351447,6,2018-07-10,Tundra,29921.6,3.86,Completed
351448,6,2018-07-22,Highlander,43813.27,3.86,Completed
351449,10,2018-07-10,Tundra,33046.72,4.88,Completed
351450,19,2018-07-20,Highlander,51878.35,5.48,Cancelled
351451,7,2018-07-13,Tundra,44373.12,5.39,Completed
351452,14,2018-07-16,RAV4,39054.73,5.1,Completed
351453,20,2018-07-18,Sienna,44137.91,5.77,Completed
351454,9,2018-07-20,Tacoma,26699.7,4.4,Completed
351455,7,2018-07-17,Corolla,28767.42,5.39,Completed
351456,7,2018-07-11,Prius,30187.96,5.39,Completed
351457,20,2018-07-30,Highlander,61081.83,5.77,Completed
351458,3,2018-07-20,Tacoma,41327.51,5.69,Completed
351459,19,2018-07-19,Camry,28346.72,5.48,Completed
351460,2,2018-07-10,Tundra,34458.11,4.0,Completed
351461,19,2018-07-30,Prius,28466.99,5.48,Pending
351462,9,2018-07-19,Sienna,33007.73,4.4,Completed
351463,20,2018-07-21,RAV4,38930.52,5.77,Completed
351464,15,2018-07-17,Corolla,23755.21,4.86,Completed
351465,10,2018-07-28,Prius,23140.79,4.88,Completed
351466,10,2018-07-07,Tundra,34626.04,4.88,Completed
351467,20,2018-07-22,Sienna,50697.28,5.77,Completed
351468,7,2018-07-19,Corolla,26217.12,5.39,Completed
351469,14,2018-07-20,Tundra,44301.48,5.1,Completed
351470,1,2018-07-04,Sienna,35129.24,5.24,Completed
351471,17,2018-07-05,Tacoma,29686.6,4.51,Completed
351472,15,2018-07-19,Prius,29279.3,4.86,Completed
351473,8,2018-07-24,Highlander,59569.21,5.84,Completed
351474,14,2018-07-06,Corolla,24257.98,5.1,Completed
351475,11,2018-07-12,Tacoma,28596.7,4.16,Completed
351476,7,2018-07-22,Tacoma,36162.47,5.39,Completed
351477,6,2018-07-27,Camry,23315.35,3.86,Completed
351478,19,2018-07-27,Tundra,43723.9,5.48,Completed
351479,1,2018-07-25,Tacoma,33514.1,5.24,Completed
351480,19,2018-07-20,Sienna,37539.94,5.48,Completed
351481,4,2018-07-20,Tundra,34017.62,3.81,Completed
351482,12,2018-07-10,Corolla,24789.91,5.65,Completed
351483,12,2018-07-17,Highlander,54988.06,5.65,Pending
351484,10,2018-07-02,Tundra,33071.87,4.88,Completed
351485,2,2018-07-30,Corolla,21734.61,4.0,Completed
351486,15,2018-07-21,Prius,27235.5,4.86,Completed
351487,14,2018-07-29,Corolla,26768.37,5.1,Cancelled
351488,2,2018-07-24,Tundra,37518.06,4.0,Completed
351489,7,2018-07-22,Tundra,45235.35,5.39,Completed
351490,6,2018-07-25,Corolla,19775.75,3.86,Completed
351491,1,2018-07-30,Camry,31899.44,5.24,Completed
351492,20,2018-07-07,RAV4,44288.61,5.77,Completed
351493,4,2018-07-03,RAV4,27446.61,3.81,Completed
351494,11,2018-07-27,RAV4,31933.11,4.16,Completed
351495,4,2018-07-13,Corolla,18878.48,3.81,Completed
351496,15,2018-07-06,Corolla,25387.42,4.86,Completed
351497,4,2018-07-07,Camry,27082.66,3.81,Completed
351498,17,2018-07-02,Sienna,31852.15,4.51,Completed
351499,8,2018-07-30,RAV4,45838.68,5.84,Completed
351500,13,2018-07-30,Tacoma,38803.66,5.61,Completed
351501,10,2018-07-18,Tacoma,31099.23,4.88,Completed
351502,1,2018-07-24,Prius,25816.26,5.24,Completed
351503,7,2018-07-21,Sienna,44913.46,5.39,Completed
351504,5,2018-07-24,Sienna,38458.97,5.34,Cancelled
351505,12,2018-07-09,Camry,33526.35,5.65,Completed
351506,1,2018-07-10,Tacoma,29226.36,5.24,Completed
351507,16,2018-07-03,Sienna,48272.07,6.06,Completed
351508,10,2018-07-23,RAV4,30582.34,4.88,Completed
351509,10,2018-07-06,Tundra,34224.75,4.88,Completed
351510,15,2018-07-12,Sienna,43554.35,4.86,Completed
351511,2,2018-07-14,RAV4,33660.02,4.0,Completed
351512,1,2018-07-03,Corolla,20072.17,5.24,Completed
351513,20,2018-07-04,Highlander,64599.35,5.77,Completed
351514,17,2018-07-21,Tacoma,26117.58,4.51,Completed
351515,20,2018-07-08,Prius,29802.15,5.77,Completed
351516,16,2018-07-31,Sienna,48718.3,6.06,Completed
351517,12,2018-07-23,Corolla,27429.14,5.65,Completed
351518,19,2018-07-26,Highlander,49871.9,5.48,Completed
351519,2,2018-07-07,Corolla,20279.23,4.0,Completed
351520,5,2018-07-29,Highlander,47492.6,5.34,Completed
351521,1,2018-07-09,RAV4,33085.93,5.24,Completed
351522,11,2018-07-21,Prius,24084.33,4.16,Completed
351523,15,2018-07-24,Corolla,25224.91,4.86,Completed
351524,7,2018-07-31,Highlander,59405.06,5.39,Completed
351525,3,2018-07-19,RAV4,47528.87,5.69,Completed
351526,17,2018-07-18,Corolla,18879.72,4.51,Completed
351527,7,2018-07-18,Prius,28654.63,5.39,Completed
351528,3,2018-07-05,Tacoma,41641.77,5.69,Completed
351529,13,2018-07-18,Tundra,49033.38,5.61,Completed
351530,10,2018-07-25,Camry,29262.25,4.88,Completed
351531,17,2018-07-30,Highlander,42451.05,4.51,Completed
351532,15,2018-07-20,Prius,30943.14,4.86,Completed
351533,8,2018-07-21,RAV4,42882.56,5.84,Completed
351534,11,2018-07-13,Camry,24780.65,4.16,Completed
351535,15,2018-07-09,Tundra,49206.1,4.86,Completed
351536,16,2018-07-28,Tacoma,42811.14,6.06,Completed
351537,2,2018-07-18,Highlander,47715.94,4.0,Pending
351538,7,2018-07-03,Tacoma,37203.67,5.39,Cancelled
